corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-srp	SRP18520_BogobojA_DvaIdola	SRP18520	Атанацковић, Богобој	Два идола	1826	1858	M	viaf:8970679 wikidata:Q833421	1852	1852	NA	1893	NA	wikidata:Q109336066	sr-cyrl	44207	NA	NA	short	high	T1
ELTeC-srp	SRP18590_JakovI_DjuradjB	SRP18590	Игњатовић, Јаков	Ђурађ Бранковић : историческиј роман	1822	1889	M	viaf:4995002 wikidata:Q570913	1859	1859	NA	1987	NA	wikidata:Q109336077	sr-cyrl	97481	NA	NA	medium	low	T1
ELTeC-srp	SRP18620_JednaZenidba	SRP18620	Игњатовић, Јаков	Једна женидба : слика из живота	1822	1889	M	viaf:4995002 wikidata:Q570913	1862	1862	NA	1953	NA	wikidata:Q109336089	sr-cyrl	20858	NA	NA	short	high	T2
ELTeC-srp	SRP18631_VladanDj_KocinaKrajna	SRP18631	Ђорђевић, Владан	Кочина крајина : историјски роман	1844	1930	M	viaf:106964101 wikidata:Q701339	1863	1863	NA	NA	NA	wikidata:Q109336100	sr-cyrl	66347	NA	NA	medium	low	T2
ELTeC-srp	SRP18630_JakovI_MilanN	SRP18630	Игњатовић, Јаков	Милан Наранџић	1822	1889	M	viaf:4995002 wikidata:Q570913	1863	1863	NA	1949	NA	wikidata:Q109336104	sr-cyrl	88117	NA	NA	medium	high	T2
ELTeC-srp	SRP18680_JovanGM_UGostionici	SRP18680	Грчић, Јован Миленко	"У гостионици код ""Полу-звезде"" на имендан шантавог торбара : Приповетка из народног живота"	1846	1875	M	viaf:37742606 Q13566195	1868	1868	NA	1987	NA	NA	sr-cyrl	19320	NA	NA	short	high	T2
ELTeC-srp	SRP18690_GmundenskoJezero	SRP18690	Ђорђевић, Владан	Гмунденско језеро : путничка новела	1844	1930	M	viaf:106964101 wikidata:Q701339	1869	1869	NA	NA	NA	wikidata:Q109335979	sr-cyrl	36543	NA	NA	short	low	T2
ELTeC-srp	SRP18691_PantaP_KakavJeKo	SRP18691	Поповић, Панта	Какав је ко онако му и бива : приповетка из народна живота / написао за народ Панта Поповић	1843	1918	M	wikidata:Q108983667	1869	1869	NA	NA	NA	wikidata:Q109336095	sr-cyrl	31620	NA	NA	short	low	T2
ELTeC-srp	SRP18730_JovanS_Kaludjer	SRP18730	Суботић, Јован	Калуђер : истина и поезија	1817	1886	M	viaf:55020645 wikidata:Q6194671	1874	1874	NA	1881	NA	wikidata:Q109336097	sr-cyrl	64724	NA	NA	medium	low	T2
ELTeC-srp	SRP18740_DjuraJ_Seljaci	SRP18740	Јакшић, Ђура	Сељаци : приповетка из сеоског живота, из године 1857.	1832	1878	M	viaf:47570198 wikidata:Q342124	1874	1874	NA	?	NA	wikidata:Q109336238	sr-cyrl	14247	NA	NA	short	high	T2
ELTeC-srp	SRP18751_MilivanG_GlavaSecera	SRP18751	Глишић, Милован	Глава шећера	1847	1908	M	viaf:73846855 wikidata:Q604086	1875	1875	1987	NA	Антологија српске књижевности, Учитељски факултет, Универзитет у Београду	wikidata:Q109303307	sr-cyrl	11035	NA	NA	short	high	T2
ELTeC-srp	SRP18750_JakovI_VasaRespekt	SRP18750	Игњатовић, Јаков	Васа Решпект	1822	1889	M	viaf:4995002 wikidata:Q570913	1875	1875	NA	1913	NA	viaf:4597155566462213380006 wikidata:Q109303305	sr-cyrl	48661	NA	NA	short	high	T2
ELTeC-srp	SRP18752_PeraR_BezOcaMajke	SRP18752	Радуловић, Пера	Без оца и мајке	NA	NA	M	wikidata:Q108839327	1875	1875	NA	1881	NA	wikidata:Q109303301	sr-cyrl	29321	NA	NA	short	low	T2
ELTeC-srp	SRP18741_DjuraJ_Banacanka	SRP18741	Јакшић, Ђура	Сирота Банаћанка	1832	1878	M	viaf:47570198 wikidata:Q342124	1875	1875	NA	2005	NA	wikidata:Q110814766	sr-cyrl	11223	NA	NA	short	high	T2
ELTeC-srp	SRP18760_DjuraJ_CicaTima	SRP18760	Јакшић, Ђура	Чича Тима : приповетка из учитељског живота	1832	1878	M	viaf:47570198 wikidata:Q109336256	1876	1876	NA	?	NA	wikidata:Q109336256	sr-cyrl	29793	NA	NA	short	low	T2
ELTeC-srp	SRP18780_BrankoM_PredZoru	SRP18780	Михајловић, Бранко [Љубиша Бранковић]	Пред зору : роман у два дела	1857	1918	M	viaf:85154625 wikidata:Q108839328	1878	1878	NA	NA	NA	wikidata:Q109336227	sr-cyrl	57165	NA	NA	medium	low	T2
ELTeC-srp	SRP18793_JovanJ_LjubavPatriot	SRP18793	Јеремић, Јован	Љубав и патриотизам	1860	1931	M	viaf:235008989 wikidata:Q110813745	1879	1879	NA	NA	NA	wikidata:Q110814768	sr-cyrl	10304	NA	NA	short	low	T2
ELTeC-srp	SRP18791_KostaB_PastirKralj	SRP18791	Барунчић, Коста	Пастир краљ или Ослобођење Србије : историјска приповетка / написао К. Б.	NA	NA	M	wikidata:Q108983662	1879	1879	NA	NA	NA	wikidata:Q109336116	sr-cyrl	32447	NA	NA	short	low	T2
ELTeC-srp	SRP18792_MilanDjM_Hajduci	SRP18792	Милићевић, Милан Ђ.	Хајдуци : биљешке с пута по Рујну	1831	1908	M	viaf:64038897 wikidata:Q2980829	1879	1879	NA	1922	NA	wikidata:Q110814337	sr-cyrl	13096	NA	NA	short	low	T2
ELTeC-srp	SRP18790_MilanDjM_JurmusaFatima	SRP18790	Милићевић, Милан Ђ.	Јурмуса и Фатима или Турска сила сама себе једе: прича о ослобођењу шест округа 1832-1834	1831	1908	M	viaf:64038897 wikidata:Q2980829	1879	1879	NA	NA	NA	wikidata:Q109336091	sr-cyrl	18012	NA	NA	short	low	T2
