file,ID,titleStmt_author,titleStmt_title,author_birth,author_death,titleStmt_author_viaf,firstEdition_date,titleStmt_title_viaf,language,words,authorGender,size,reprintCount,timeSlot
SRP18520_BogobojA_DvaIdola.xml,SRP18520,"Атанацковић, Богобој ",Два идола : ELTeC издање,1826,1858,viaf:8970679 wikidata:Q833421,1852,wikidata:Q109336066,српски,44207,M,short,high,T1
SRP18590_JakovI_DjuradjB.xml,SRP18590,"Игњатовић, Јаков ",Ђурађ Бранковић : историческиј роман : ELTeC издање,1822,1889,viaf:4995002 wikidata:Q570913,1859,wikidata:Q109336077,српски,97481,M,medium,low,T1
SRP18620_JednaZenidba.xml,SRP18620,"Игњатовић, Јаков ",Једна женидба : слика из живота : ELTeC издање,1822,1889,viaf:4995002 wikidata:Q570913,1862,wikidata:Q109336089,српски,20858,M,short,high,T2
SRP18630_JakovI_MilanN.xml,SRP18630,"Игњатовић, Јаков ",Милан Наранџић : ELTeC издање,1822,1889,viaf:4995002 wikidata:Q570913,1863,wikidata:Q109336104,српски,88117,M,medium,high,T2
SRP18631_VladanDj_KocinaKrajna.xml,SRP18631,"Ђорђевић, Владан ",Кочина крајина : историјски роман : ELTeC издање,1844,1930,viaf:106964101 wikidata:Q701339,1863,wikidata:Q109336100,српски,66347,M,medium,low,T2
SRP18680_JovanGM_UGostionici.xml,SRP18680,"Грчић, Јован Миленко ","У гостионици код ""Полу-звезде"" на имендан шантавог торбара : Приповетка из народног живота : ELTeC издање",1846,1875,viaf:37742606 Q13566195,1868,,српски,19320,M,short,high,T2
SRP18690_GmundenskoJezero.xml,SRP18690,"Ђорђевић, Владан ",Гмунденско језеро : путничка новела : ELTeC издање,1844,1930,viaf:106964101 wikidata:Q701339,1869,wikidata:Q109335979,српски,36543,M,short,low,T2
SRP18691_PantaP_KakavJeKo.xml,SRP18691,"Поповић, Панта ",Какав је ко онако му и бива : приповетка из народна живота / написао за народ Панта Поповић : ELTeC издање,1843,1918,wikidata:Q108983667,1869,wikidata:Q109336095,српски,31620,M,short,low,T2
SRP18730_JovanS_Kaludjer.xml,SRP18730,"Суботић, Јован ",Калуђер : истина и поезија : ELTeC издање,1817,1886,viaf:55020645 wikidata:Q6194671,1874,wikidata:Q109336097,српски,64724,M,medium,low,T2
SRP18740_DjuraJ_Seljaci.xml,SRP18740,"Јакшић, Ђура ","Сељаци : приповетка из сеоског живота, из године 1857. : ELTeC издање",1832,1878,viaf:47570198 wikidata:Q342124,1874,wikidata:Q109336238,српски,14247,M,short,high,T2
SRP18741_DjuraJ_Banacanka.xml,SRP18741,"Јакшић, Ђура ",Сирота Банаћанка : ELTeC издање,1832,1878,viaf:47570198 wikidata:Q342124,1875,wikidata:Q110814766,српски,11223,M,short,high,T2
SRP18750_JakovI_VasaRespekt.xml,SRP18750,"Игњатовић, Јаков ",Васа Решпект : ELTeC издање,1822,1889,viaf:4995002 wikidata:Q570913,1875,viaf:4597155566462213380006 wikidata:Q109303305,српски,48661,M,short,high,T2
SRP18751_MilivanG_GlavaSecera.xml,SRP18751,"Глишић, Милован ",Глава шећера : ELTeC издање,1847,1908,viaf:73846855 wikidata:Q604086,1875,wikidata:Q109303307,српски,11035,M,short,high,T2
