file,id,PERS,LOC,ORG,DEMO,ROLE,EVENT,WORK,Total
SRP18520_BogobojA_DvaIdola-L2.xml,SRP18520,913,87,10,285,406,7,1,1709
SRP18590_JakovI_DjuradjB-L2.xml,SRP18590,3985,1267,34,1778,3271,43,15,10393
SRP18620_JednaZenidba-L2.xml,SRP18620,934,29,1,36,563,0,1,1564
SRP18630_JakovI_MilanN-L2.xml,SRP18630,2699,35,4,52,1395,0,1,4186
SRP18631_VladanDj_KocinaKrajna-L2.xml,SRP18631,1335,302,2,466,636,2,0,2743
SRP18680_JovanGM_UGostionici-L2.xml,SRP18680,233,27,3,60,220,2,0,545
SRP18690_GmundenskoJezero-L2.xml,SRP18690,565,180,0,119,632,0,0,1496
SRP18691_PantaP_KakavJeKo-L2.xml,SRP18691,721,38,6,56,564,2,0,1387
SRP18730_JovanS_Kaludjer-L2.xml,SRP18730,1025,240,31,117,1941,2,7,3363
SRP18740_DjuraJ_Seljaci-L2.xml,SRP18740,528,52,0,16,534,4,1,1135
SRP18741_DjuraJ_Banacanka-L2.xml,SRP18741,146,31,1,34,170,5,0,387
SRP18750_JakovI_VasaRespekt-L2.xml,SRP18750,1637,326,33,214,982,0,7,3199
SRP18751_MilivanG_GlavaSecera-L2.xml,SRP18751,239,16,0,7,293,3,0,558
SRP18752_PeraR_BezOcaMajke-L2.xml,SRP18752,459,7,1,12,101,2,1,583
SRP18760_DjuraJ_CicaTima-L2.xml,SRP18760,461,132,8,240,854,9,5,1709
SRP18780_BrankoM_PredZoru-L2.xml,SRP18780,1188,145,6,90,255,0,4,1688
SRP18790_MilanDjM_JurmusaFatima-L2.xml,SRP18790,770,198,11,185,375,2,1,1542
SRP18791_KostaB_PastirKralj-L2.xml,SRP18791,634,332,9,449,567,15,1,2007
SRP18792_MilanDjM_Hajduci-L2.xml,SRP18792,264,185,5,55,416,3,0,928
SRP18793_JovanJ_LjubavPatriot-L2.xml,SRP18793,216,32,1,96,78,1,0,424
SRP18800_DragocenaOgrlica-L2.xml,SRP18800,1263,56,21,11,1428,1,9,2789
SRP18840_DraginjaG_IzUcitZivota-L2.xml,SRP18840,472,6,1,26,239,0,0,744
SRP18860_MilanDjM_OmerCelebija-L2.xml,SRP18860,1002,663,22,525,651,6,0,2869
SRP18870_DraginjaG_Babadevojka-L2.xml,SRP18870,185,9,3,12,67,0,7,283
SRP18871_LazarK_MojKocijas-L2.xml,SRP18871,1396,251,56,179,1331,0,63,3276
SRP18880_Sapcanin_Sanjalo-L2.xml,SRP18880,1335,242,26,155,968,0,0,2726
SRP18881_PavleMA_DuhVremena-L2.xml,SRP18881,1149,202,27,168,701,2,0,2249
SRP18882_StevanVP_SumarevaCerka-L2.xml,SRP18882,1901,118,7,102,1651,4,27,3810
SRP18883_JakovI_Patnica-L2.xml,SRP18883,5823,126,7,101,1609,10,4,7680
